ID,Source,ADMN1_ES,ADM1_PCODE,ADM2_ES,ADM2_PCODE,ADM3_ES,ADM3_PCODE,Location,X_DD,Y_DD,Georegion,Date,Hora,month,day,year,Factor involved,Flash Flood identifiers,Heavy precipitation,Short duration rain,Artificial waterway overflow,Small stream overflow,Surface runoff,Urban,Slope,River bank failure,Strong current,Short flood,Deaths,Injured,Missing,Houses_Destroyed,Houses_Damaged,Household_Affected,Directly_Affected,Indirectly_Affected,Relocated,Evacuated,Ha_crops_affected,Ha_crop_lost,FFCI,FFSI,EFFCI,Estim_affected,Estim_household,Impact_severity,ReportDateTimeUTC
3026,Desinventar,ORELLANA,EC22,ORELLANA,EC2201,DAYUMA,EC220151,Mandaripanga,-76.66554,-0.632382,El Oriente,3/20/15,10:00:00 AM,3,20,2015,,Urban,0,0,0,0,0,1,0,0,0,0,,,,,4.0,,22.0,22.0,,,,,1,1,1,22.0,4.0,3.0,2015-03-20 15:00:00
2622,Desinventar/SNGRE_2021,ESMERALDAS,EC08,RIOVERDE,EC0807,RIOVERDE,EC080750,Barrio el Progreso,-79.409418,1.05523,La Costa,2/15/14,12:40:00 PM,2,15,2014,Rain ,Urban,0,0,0,0,0,1,0,0,0,0,,,,,1.0,,,,,,,,1,1,1,,1.0,,2014-02-15 17:40:00
2735,Desinventar,ESMERALDAS,EC08,RIOVERDE,EC0807,RIOVERDE,EC080750,Palestina,-79.413553,1.068246,La Costa,4/2/14,4:27:00 AM,4,2,2014,Rain ,Urban,0,0,0,0,0,1,0,0,0,0,,,,,10.0,,30.0,30.0,,,,,1,1,1,30.0,10.0,3.0,2014-04-02 09:27:00
2247,Desinventar/SNGRE_2021,LOS RIOS,EC12,QUEVEDO,EC1205,SAN CARLOS,EC120553,Barrio Santa Rosa,-79.4235,-1.1134,La Costa,4/9/13,8:40:00 PM,4,9,2013,Rain ,Urban,0,0,0,0,0,1,0,0,0,0,,,,,1.0,,5.0,5.0,,,,,1,1,1,5.0,1.0,1.0,2013-04-10 01:40:00
2553,Desinventar,ESMERALDAS,EC08,QUININDE,EC0804,ROSA ZARATE (QUININDE),EC080450,Barrios asentados en zonas bajas,-79.521741,0.299329,La Costa,1/22/14,6:00:00 AM,1,22,2014,Rain ,Urban,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,1,1,1,,,,2014-01-22 11:00:00
4565,Desinventar,EL ORO,EC07,PASAJE,EC0709,TRES CERRITOS,EC070950,Tierra Prometida,-79.767653,-3.32506,La Costa,1/7/19,8:12:00 PM,1,7,2019,Rain,Urban,0,0,0,0,0,1,0,0,0,0,,,,,2.0,2.0,9.0,9.0,,,,,1,1,1,9.0,2.0,2.0,2019-01-08 01:12:00
3217,SNGRE,EL ORO,EC07,PASAJE,EC0709,LA PEANA,EC070953,Barrio Fatima,-79.852055,-3.312756,La Costa,7/4/15,7:05:00 PM,7,4,2015,,Artificial waterway overflow,0,0,1,0,0,0,0,0,0,0,,,,,,,3.0,,,,,,1,1,1,3.0,,1.0,2015-07-05 00:05:00
2018,Desinventar/SNGRE_2021,EL ORO,EC07,MACHALA,EC0701,MACHALA,EC070150,Barrio San Marcos - via Ferroviaria cerca de caseta de bombe,-79.9026,-3.2679,La Costa,3/5/13,5:35:00 PM,3,5,2013,Overflow,Artificial waterway overflow,0,0,1,0,0,0,0,0,0,0,,,,,20.0,,,,,,,,1,1,1,,20.0,,2013-03-05 22:35:00
5133,SNGRE_2021,EL ORO,EC07,MACHALA,EC0701,MACHALA,EC070150,"Varios Sectores (Manuel Estomba y Junin; Santa Rosa y Manuel Estomba, 13 Oeste y 25 de Junio, Cdla. Venecia, Federico Paez, 18 de Octubre, 1ero de Enero, Cdla. Los Esteros, Los Sauces 2, 8 de Noviembre, Ave. Gran Colombia, 1ro Enero, Cdla. Mario Minuche, Cdla. Gonzalez Rubio, Cdla. Alcides Pesantez, Cdla. Los Girasoles, Cdla. Tiwinza, Los Sauces 1, 10 de Septiembre, Cdla. Harry Alvarez, Barrio Minuche, San Estuardo, El Pacifico, Barrio Independiente)",-79.949118,-3.251151,La Costa,2/23/20,1:00:00 AM,2,23,2020,Rain,Urban,0,0,0,0,0,1,0,0,0,0,,,,,636.0,636.0,2558.0,,,283.0,,,1,1,1,2558.0,636.0,,2020-02-23 06:00:00
5120,SNGRE_2021,EL ORO,EC07,MACHALA,EC0701,MACHALA,EC070150,"Varios sectores: Colon Tinoco, Los Vergeles, 14ava Norte y Buena Vista, Ursesa 2 Sector 1, Ciudadela Iess, Oro City 3, Cdla Brisas del Mar",-79.962507,-3.259695,La Costa,2/20/20,9:42:00 PM,2,20,2020,Rain,Urban,0,0,0,0,0,1,0,0,0,0,,,,,8.0,9.0,32.0,,,7.0,,,1,1,1,32.0,9.0,3.0,2020-02-21 02:42:00
