N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,312,0,158
2,0,259,0,211
3,0,227,0,243
4,0,192,0,278
5,0,169,0,301
6,0,153,0,317
7,0,139,0,331
8,0,122,0,348
9,0,110,0,360
10,0,104,0,366
11,0,93,0,377
12,0,91,0,379
13,0,83,0,387
14,0,80,0,390
15,0,72,0,398
16,0,69,0,401
17,0,68,0,402
18,0,62,0,408
19,0,58,0,412
20,0,53,0,417
21,0,51,0,419
22,0,49,0,421
23,0,49,0,421
24,0,48,0,422
25,0,46,0,424
26,0,46,0,424
27,0,43,0,427
28,0,40,0,430
29,0,39,0,431
30,0,39,0,431
31,0,36,0,434
32,0,34,0,436
33,0,34,0,436
34,0,33,0,437
35,0,31,0,439
36,0,28,0,442
37,0,28,0,442
38,0,28,0,442
39,0,25,0,445
40,0,23,0,447
41,0,23,0,447
42,0,21,0,449
43,0,21,0,449
44,0,21,0,449
45,0,20,0,450
46,0,19,0,451
47,0,12,0,458
48,0,10,0,460
49,0,8,0,462
50,0,4,0,466
51,0,0,0,470
