N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,297,0,24
2,0,235,0,86
3,0,198,0,123
4,0,173,0,148
5,0,156,0,165
6,0,142,0,179
7,0,124,0,197
8,0,117,0,204
9,0,108,0,213
10,0,98,0,223
11,0,90,0,231
12,0,86,0,235
13,0,81,0,240
14,0,71,0,250
15,0,60,0,261
16,0,51,0,270
17,0,44,0,277
18,0,37,0,284
19,0,27,0,294
20,0,18,0,303
21,0,11,0,310
22,0,7,0,314
23,0,5,0,316
24,0,3,0,318
25,0,2,0,319
26,0,2,0,319
27,0,1,0,320
28,0,0,0,321
29,0,0,0,321
30,0,0,0,321
31,0,0,0,321
32,0,0,0,321
33,0,0,0,321
34,0,0,0,321
35,0,0,0,321
36,0,0,0,321
37,0,0,0,321
38,0,0,0,321
39,0,0,0,321
40,0,0,0,321
41,0,0,0,321
42,0,0,0,321
43,0,0,0,321
44,0,0,0,321
45,0,0,0,321
46,0,0,0,321
47,0,0,0,321
48,0,0,0,321
49,0,0,0,321
50,0,0,0,321
51,0,0,0,321
