N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,470,0,0
2,0,466,0,4
3,0,451,0,19
4,0,434,0,36
5,0,411,0,59
6,0,388,0,82
7,0,370,0,100
8,0,355,0,115
9,0,346,0,124
10,0,334,0,136
11,0,324,0,146
12,0,318,0,152
13,0,313,0,157
14,0,305,0,165
15,0,299,0,171
16,0,295,0,175
17,0,292,0,178
18,0,286,0,184
19,0,283,0,187
20,0,281,0,189
21,0,274,0,196
22,0,267,0,203
23,0,262,0,208
24,0,256,0,214
25,0,254,0,216
26,0,249,0,221
27,0,243,0,227
28,0,238,0,232
29,0,237,0,233
30,0,233,0,237
31,0,229,0,241
32,0,223,0,247
33,0,220,0,250
34,0,213,0,257
35,0,210,0,260
36,0,203,0,267
37,0,200,0,270
38,0,192,0,278
39,0,187,0,283
40,0,182,0,288
41,0,179,0,291
42,0,174,0,296
43,0,170,0,300
44,0,161,0,309
45,0,155,0,315
46,0,150,0,320
47,0,145,0,325
48,0,140,0,330
49,0,134,0,336
50,0,124,0,346
51,0,119,0,351
52,0,113,0,357
53,0,107,0,363
54,0,100,0,370
55,0,97,0,373
56,0,95,0,375
57,0,91,0,379
58,0,87,0,383
59,0,81,0,389
60,0,76,0,394
61,0,72,0,398
62,0,66,0,404
63,0,59,0,411
64,0,54,0,416
65,0,49,0,421
66,0,45,0,425
67,0,41,0,429
68,0,38,0,432
69,0,27,0,443
70,0,22,0,448
71,0,19,0,451
72,0,14,0,456
73,0,10,0,460
74,0,5,0,465
75,0,3,0,467
76,0,2,0,468
77,0,2,0,468
78,0,1,0,469
79,0,1,0,469
80,0,1,0,469
81,0,1,0,469
82,0,1,0,469
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
