N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,291,0,30
2,0,274,0,47
3,0,263,0,58
4,0,248,0,73
5,0,226,0,95
6,0,200,0,121
7,0,182,0,139
8,0,164,0,157
9,0,140,0,181
10,0,126,0,195
11,0,111,0,210
12,0,98,0,223
13,0,92,0,229
14,0,79,0,242
15,0,76,0,245
16,0,68,0,253
17,0,59,0,262
18,0,51,0,270
19,0,48,0,273
20,0,42,0,279
21,0,39,0,282
22,0,34,0,287
23,0,33,0,288
24,0,33,0,288
25,0,28,0,293
26,0,27,0,294
27,0,24,0,297
28,0,24,0,297
29,0,24,0,297
30,0,21,0,300
31,0,20,0,301
32,0,18,0,303
33,0,18,0,303
34,0,17,0,304
35,0,16,0,305
36,0,15,0,306
37,0,14,0,307
38,0,14,0,307
39,0,11,0,310
40,0,10,0,311
41,0,10,0,311
42,0,8,0,313
43,0,8,0,313
44,0,8,0,313
45,0,8,0,313
46,0,8,0,313
47,0,8,0,313
48,0,8,0,313
49,0,7,0,314
50,0,6,0,315
51,0,5,0,316
52,0,4,0,317
53,0,4,0,317
54,0,4,0,317
55,0,2,0,319
56,0,2,0,319
57,0,2,0,319
58,0,2,0,319
59,0,2,0,319
60,0,2,0,319
61,0,2,0,319
62,0,2,0,319
63,0,2,0,319
64,0,2,0,319
65,0,2,0,319
66,0,2,0,319
67,0,1,0,320
68,0,0,0,321
69,0,0,0,321
70,0,0,0,321
71,0,0,0,321
72,0,0,0,321
73,0,0,0,321
74,0,0,0,321
75,0,0,0,321
76,0,0,0,321
77,0,0,0,321
78,0,0,0,321
79,0,0,0,321
80,0,0,0,321
81,0,0,0,321
82,0,0,0,321
83,0,0,0,321
84,0,0,0,321
85,0,0,0,321
86,0,0,0,321
87,0,0,0,321
88,0,0,0,321
89,0,0,0,321
90,0,0,0,321
91,0,0,0,321
92,0,0,0,321
93,0,0,0,321
94,0,0,0,321
95,0,0,0,321
96,0,0,0,321
97,0,0,0,321
98,0,0,0,321
99,0,0,0,321
