N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,355,0,115
2,0,335,0,135
3,0,325,0,145
4,0,317,0,153
5,0,307,0,163
6,0,301,0,169
7,0,287,0,183
8,0,278,0,192
9,0,269,0,201
10,0,261,0,209
11,0,243,0,227
12,0,226,0,244
13,0,209,0,261
14,0,195,0,275
15,0,185,0,285
16,0,174,0,296
17,0,161,0,309
18,0,148,0,322
19,0,132,0,338
20,0,121,0,349
21,0,106,0,364
22,0,101,0,369
23,0,93,0,377
24,0,87,0,383
25,0,81,0,389
26,0,73,0,397
27,0,64,0,406
28,0,62,0,408
29,0,57,0,413
30,0,54,0,416
31,0,44,0,426
32,0,40,0,430
33,0,38,0,432
34,0,33,0,437
35,0,29,0,441
36,0,23,0,447
37,0,20,0,450
38,0,16,0,454
39,0,14,0,456
40,0,12,0,458
41,0,10,0,460
42,0,8,0,462
43,0,6,0,464
44,0,4,0,466
45,0,4,0,466
46,0,3,0,467
47,0,2,0,468
48,0,2,0,468
49,0,1,0,469
50,0,1,0,469
51,0,1,0,469
52,0,1,0,469
53,0,1,0,469
54,0,0,0,470
55,0,0,0,470
56,0,0,0,470
57,0,0,0,470
58,0,0,0,470
59,0,0,0,470
60,0,0,0,470
61,0,0,0,470
62,0,0,0,470
63,0,0,0,470
64,0,0,0,470
65,0,0,0,470
66,0,0,0,470
67,0,0,0,470
68,0,0,0,470
69,0,0,0,470
70,0,0,0,470
71,0,0,0,470
72,0,0,0,470
73,0,0,0,470
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
