lat,lon,region_code
1.48,-78.79,1
1.34,-78.8,1
1.34,-78.66,1
1.19,-79.1,1
1.19,-78.96,1
1.19,-78.82,1
1.19,-78.68,1
1.19,-78.54,1
1.19,-78.4,1
1.05,-79.69,1
1.05,-79.54,1
1.05,-79.4,1
1.05,-79.26,1
1.05,-79.12,1
1.05,-78.98,1
1.05,-78.84,1
1.05,-78.7,1
1.05,-78.56,1
1.05,-78.41,1
0.91,-79.98,1
0.91,-79.84,1
0.91,-79.7,1
0.91,-79.56,1
0.91,-79.42,1
0.91,-79.28,1
0.91,-79.14,1
0.91,-79,1
0.91,-78.86,1
0.91,-78.71,1
0.91,-78.57,1
0.77,-80.14,1
0.77,-80,1
0.77,-79.86,1
0.77,-79.72,1
0.77,-79.58,1
0.77,-79.44,1
0.77,-79.3,1
0.77,-79.15,1
0.77,-79.01,1
0.77,-78.87,1
0.77,-78.73,1
0.63,-80.02,1
0.63,-79.88,1
0.63,-79.73,1
0.63,-79.59,1
0.63,-79.45,1
0.63,-79.31,1
0.63,-79.17,1
0.63,-79.03,1
0.63,-78.89,1
0.49,-80.03,1
0.49,-79.89,1
0.49,-79.75,1
0.49,-79.61,1
0.49,-79.47,1
0.49,-79.33,1
0.49,-79.19,1
0.49,-79.05,1
0.35,-80.05,1
0.35,-79.91,1
0.35,-79.77,1
0.35,-79.63,1
0.35,-79.49,1
0.35,-79.35,1
0.35,-79.21,1
0.35,-79.07,1
0.21,-80.06,1
0.21,-79.92,1
0.21,-79.78,1
0.21,-79.64,1
0.21,-79.5,1
0.21,-79.36,1
0.21,-79.22,1
0.21,-79.08,1
0.07,-80.08,1
0.07,-79.94,1
0.07,-79.8,1
0.07,-79.66,1
0.07,-79.52,1
0.07,-79.38,1
0.07,-79.24,1
0.07,-79.1,1
-0.07,-80.22,1
-0.07,-80.08,1
-0.07,-79.94,1
-0.07,-79.8,1
-0.07,-79.66,1
-0.07,-79.52,1
-0.07,-79.38,1
-0.07,-79.24,1
-0.07,-79.1,1
-0.21,-80.34,1
-0.21,-80.2,1
-0.21,-80.06,1
-0.21,-79.92,1
-0.21,-79.78,1
-0.21,-79.64,1
-0.21,-79.5,1
-0.21,-79.36,1
-0.21,-79.22,1
-0.35,-80.47,1
-0.35,-80.33,1
-0.35,-80.19,1
-0.35,-80.05,1
-0.35,-79.91,1
-0.35,-79.77,1
-0.35,-79.63,1
-0.35,-79.49,1
-0.35,-79.35,1
-0.35,-79.21,1
-0.49,-80.45,1
-0.49,-80.31,1
-0.49,-80.17,1
-0.49,-80.03,1
-0.49,-79.89,1
-0.49,-79.75,1
-0.49,-79.61,1
-0.49,-79.47,1
-0.49,-79.33,1
-0.63,-80.44,1
-0.63,-80.3,1
-0.63,-80.16,1
-0.63,-80.02,1
-0.63,-79.88,1
-0.63,-79.73,1
-0.63,-79.59,1
-0.63,-79.45,1
-0.63,-79.31,1
-0.77,-80.56,1
-0.77,-80.42,1
-0.77,-80.28,1
-0.77,-80.14,1
-0.77,-80,1
-0.77,-79.86,1
